App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
SoftwareTesting,BMIUtilsPBTest.java,..\..\src\test\java\org\task2\BMIUtilsPBTest.java,..\..\src\main\java\org\task2\BMIUtils.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftwareTesting,BlackBoxTest.java,..\..\src\test\java\org\task2\BlackBoxTest.java,..\..\src\main\java\org\task2\BMIUtils.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
SoftwareTesting,BMIUtilsTest.java,..\..\src\test\java\org\task2\BMIUtilsTest.java,..\..\src\main\java\org\task2\BMIUtils.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
SoftwareTesting,StringUtilsTest.java,..\..\src\test\java\org\task1\StringUtilsTest.java,..\..\src\main\java\org\task1\StringUtils.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SoftwareTesting,BlackBoxTest.java,..\..\src\test\java\org\task1\BlackBoxTest.java,..\..\src\main\java\org\task1\StringUtils.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
